Kit NSN,Kit Name,Item NSN,Description,Quantity,Unit of Measure,Source,Unit Price,Extended Price,Accountability Code,Is Sub-Kit
6545-CF-005-0438,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA",6505-21-843-5826,BACITRACIN ZINC OINT,2,TU,WHSE,4.95,9.9,C,
6545-CF-005-0438,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA",6505-21-855-3742,"LACTATED RINGER'S, FOR INJECTION, 1000ML, IV BAG",30,BG,WHSE,4,120,C,
6545-CF-005-0438,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA",6505-21-870-8370,FUROSEM INJ 10MG/ML-2ML,3,EA,WHSE,1.74,5.22,D,
6545-CF-005-0438,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA",6505-21-872-2053,SALBUTAMOL INHLR 100MCG,3,CN,WHSE,5,15,D,
6545-CF-005-0438,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA",6505-21-913-6604,CHLORHEX GLUCO 4%-450ML,1,EA,WHSE,6.53,6.53,C,
6545-CF-005-0438,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA",6505-CF-002-6068,SODIUM BICARB 8.4% INJ,3,VI,WHSE,18.22,54.66,C,
6545-CF-005-0438,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA",6505-CF-002-7857,DEX 50% INJ PRE-SYR 50ML,2,EA,WHSE,38.12,76.24,C,
6545-CF-005-0438,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA",6505-CF-005-0634,"EPINEPHRINE, 0.1MG/ML, ADULT, 10ML PREFILL SYRINGE, WITHOUT NEEDLE",2,EA,WHSE,38.06,76.12,C,
6545-CF-005-0438,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA",6510-00-203-4510,TAPE ADHES 5CM X 4.5M,4,SL,WHSE,3.06,12.24,C,
6545-CF-005-0438,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA",6510-00-786-3736,PAD ISOPROPYL ALCOHOL,1,BX,WHSE,2.07,2.07,C,
6545-CF-005-0438,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA",6510-01-558-3342,DRSSNG MODULAR 4IN NLTX,30,EA,WHSE,11.76,352.8,C,
6545-CF-005-0438,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA",6510-01-558-3443,DRSSNG MODULAR 6IN(15CM) NLTX,30,EA,WHSE,13.44,403.2,C,
6545-CF-005-0438,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA",6510-01-562-3325,GAUZE HEMOSTATIC 7.5CM,4,EA,WHSE,56.33,225.32,C,
6545-CF-005-0438,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA",6510-01-586-4314,BANDAGE TRAUMA 20IN X 20IN(50.8CM X 50.8CM),4,EA,WHSE,15.03,60.12,C,
6545-CF-005-0438,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA",6510-01-621-1129,"DRESSING, CHEST WOUND SEAL, NON-VALVED",2,PG,WHSE,36.59,73.18,C,
6545-CF-005-0438,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA",6510-01-658-7745,CHEST SEAL W/VALVE 2.0 NO PAD OR CAP,3,EA,WHSE,31.82,95.46,C,
6545-CF-005-0438,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA",6510-20-013-4808,"DRESSING, ADHESIVE, NON-STERILE, BREATHABLE",1,BX,WHSE,29.53,29.53,C,
