Item NSN,Description,Quantity,Unit of Measure,Source,Unit Price,Extended Price,Accountability Code,Is Sub-Kit
6505-CF-002-8890,"EMTRICITABINE 200MG/TENOFOVIR 300MG, TABLET",30,EA,WHSE,1.05,31.5,D,
6505-CF-002-8891,"RALTEGRAVIR POTASSIUM 400MG, TABLET",60,EA,WHSE,14.03,841.8,D,
6545-CF-002-8272,CASE EMPTY FAK 26CMX18CM,1,EA,WHSE,5.86,5.86,C,
PAMPHLET14,Preventive and Management of occupational exposure to blood borne pathogens in Canadian Forces Health Services Centres 24 Nov 2017 CDCP 2005-01,1,,ExternalRqn,2.39,2.39,,
