Item NSN,Description,Quantity,Unit of Measure,Source,Unit Price,Extended Price,Accountability Code,Is Sub-Kit
6530-21-846-9540,CUP MEDICINE CLEAR PLASTIC 1OZ/30CC GRADUATED IN 'CC' AND 'ML' W/LINE MARKINGS (SPOON SIZES),200,EA,WHSE,0.01,2,C,
6530-21-862-7859,TRAY COUNTING CAPS/TABS,2,EA,WHSE,13.27,26.54,C,
6530-21-868-4459,PAPER SHEETING (TABLE),6,RO,WHSE,2.86,17.16,C,
6530-CF-005-0361,"VIAL, CHILD-PROOF SAFETY CAP, 20DR",350,EA,WHSE,0.26,91,C,
6530-CF-005-0377,"VIAL, 8.5DR, TO USE WITH CENTOR SCREW LOC CAP 6530-CF-005-0378",200,EA,WHSE,0.09,18,C,
6530-CF-005-0378,"CENTOR SCREW LOC CLOSURE, 8.5DR, USE WITH VIAL 6530-CF-005-0377",200,EA,WHSE,0.07,14,C,
7520-21-884-4614,DISPENSER WARNING LABELS,1,EA,WHSE,106.88,106.88,C,
