Item NSN,Description,Quantity,Unit of Measure,Source,Unit Price,Extended Price,Accountability Code,Is Sub-Kit
6515-00-367-0420,SHIELD EYE PATCH W/CORD,6,EA,WHSE,5.87,35.22,C,
6515-01-008-3338,PEN SKIN MARKING,3,EA,WHSE,0.89,2.67,C,
6515-01-158-8010,SPECULUM OTOSCOPE 2.75MM,1,BG,WHSE,32.48,32.48,C,
6515-01-225-4681,"SPLINT, UNIVERSAL.LIGHTWEIGHT; RADIOLUCENT; GRAY; 4-1/2 BY 36 INCH (10.8 BY 92.2 CM);FOR IMMOBILIZATION OF INJURED EXTREMITIES",2,EA,WHSE,11.13,22.26,C,
6515-01-257-6384,TUBE TRACH 6.5MM CUFFED,1,EA,WHSE,2.59,2.59,C,
6515-01-269-1792,AIRWAY NASOPHARYNG 28FR,1,EA,WHSE,9.12,9.12,C,
6515-01-318-3468,SPHYGMOMANOMETER W/CASE,1,EA,WHSE,117,117,D,
6515-01-357-5932,SYR HYPO PLS/DBL-SC 6CC,3,EA,WHSE,0.19,0.57,C,
6515-01-390-9654,"CATHETER, I.V., SAFETY VERSION, 18G X 1.25IN",25,EA,WHSE,1.8,45,C,
6515-01-509-6866,SPLINT PELVIC SAM,2,EA,WHSE,87.22,174.44,D,
6515-01-521-7976,"TOURNIQUET, COMBAT APPLICATION, HEMORRHAGE CONTROL, C-A-T, BLACK",4,EA,WHSE,32.98,131.92,C,
6515-01-525-0236,SPECULUM OTOSCOPE 4.25MM,1,BG,WHSE,35.19,35.19,C,
6515-01-583-0475,"SYRINGE,HYPODERMIC. CAPACITY 50 ML",1,EA,WHSE,0.99,0.99,C,
6515-01-618-6471,"SYRINGE, HYPODERMIC 3ML",6,EA,WHSE,0.13,0.78,C,
6515-01-618-8278,"PACK, AIRWAY SUPRAGLOTTIC, ADULT, SIZE 4 COMES WITH LUBRICANT AND AIRWAY SUPPORT STRAP",2,EA,WHSE,35,70,C,
6515-01-621-2401,"PACK, AIRWAY SUPRAGLOTTIC, ADULT, SIZE 5 COMES WITH LUBRICANT AND AIRWAY SUPPORT STRAP",4,EA,WHSE,35,140,C,
6515-01-673-1021,"CATHETER, I.V., SAFETY VERSION, 16G X 1.25IN",25,EA,WHSE,1.8,45,C,
6515-01-673-7560,STETHOSCOPE,3,EA,WHSE,131.24,393.72,D,
6515-01-685-3762,"SOLUTION SET, NON-VENTED, 10 DROPS/ML, 112IN (2.8M)",15,EA,WHSE,6.02,90.3,C,
6515-01-695-8358,"CATHETER, I.V. SAFETY VERSION, 20G X 1.25IN",25,EA,WHSE,1.8,45,C,
6515-20-011-2559,"TRAY, TACTICAL VASCULAR",4,SE,WHSE,46.78,187.12,D,
6515-20-011-4681,SET AIRWAY SURGICAL STER,4,EA,WHSE,50.83,203.32,C,
6515-21-113-1540,HAMMER REFLEX TESTING,1,EA,WHSE,3.94,3.94,D,
6515-21-113-1564,SPHYGMOMANO POCKET TYPE,1,EA,WHSE,23.28,23.28,D,
6515-21-116-0445,TUBING LATEX 3/16IN X 1/16IN X 50FT/RL,4,RO,WHSE,17.2,68.8,C,
6515-21-116-3551,PLUG CATHETER SMALL,2,EA,WHSE,0.81,1.62,C,
6515-21-116-3555,CATH URET 14FR/30C FOLEY,2,EA,WHSE,17.57,35.14,C,
6515-21-116-3556,CATH URET 16FR/30C FOLEY,2,EA,WHSE,17.57,35.14,C,
6515-21-848-2730,TUBE DUODENAL 16FR,1,EA,WHSE,1.15,1.15,C,
6515-21-878-1123,AIRWAY PHARYNGEAL SZ 6,2,EA,WHSE,4.04,8.08,C,
6515-21-878-1957,SCISSORS UNIVERSAL,1,EA,WHSE,2.94,2.94,D,
6515-21-896-3208,TOURNIQUET QUICK-RELEASE,1,EA,WHSE,18.8,18.8,C,
6515-21-897-9278,"LARYNGOSCOPE, BLADE, MACINTOSH, SIZE 3, FIBEROPTIC, REUSABLE, CLOSED SYSTEM",1,EA,WHSE,384.22,384.22,D,
6515-21-897-9449,HANDLE LARYNGOSCOPE,1,EA,WHSE,229.24,229.24,D,
6515-22-121-0337,RESUSCITATOR (AMBU),1,EA,WHSE,694.33,694.33,C,
6515-CF-001-6515,VALVE ONE-WAY RESUS,30,EA,WHSE,2.44,73.2,D,
6515-CF-001-8628,DEPRESSOR TONGUE IND WRP,50,EA,WHSE,0.04,2,C,
6515-CF-002-0794,CATHETER IV TFL ORG 14G,5,EA,WHSE,7.33,36.65,C,
6515-CF-002-7226,"GLOVES, SURGICAL, STERILE, CARDINAL HEALTH, POLYISPRENE, SIZE 8.5, CREAM",2,PR,WHSE,1.97,3.94,C,
6515-CF-002-7228,"GLOVES, SURGICAL, STERILE, CARDINAL HEALTH, POLYISPRENE, SIZE 9, CREAM",2,PR,WHSE,1.97,3.94,C,
6515-CF-002-7246,"GLOVES, SURGICAL, STERILE, CARDINAL HEALTH, SYNTHETIC NEOPRENE, SIZE 7.5, CREAM",2,PR,WHSE,1.86,3.72,C,
6515-CF-002-7247,"GLOVES, SURGICAL, STERILE, CARDINAL HEALTH, SYNTHETIC NEOPRENE, SIZE 8, CREAM",2,PR,WHSE,1.86,3.72,C,
6515-CF-002-8058,BLADE MILLER SZ 3 DISPOS,1,EA,WHSE,6.88,6.88,C,
6515-CF-002-8059,BLADE MILLER SZ 4 DISPOS,1,EA,WHSE,8.28,8.28,C,
6515-CF-002-8062,BLADE MAC SZ 3 DISPOS,1,EA,WHSE,5.4,5.4,C,
6515-CF-002-8063,BLADE MAC SZ 4 DISPOS,1,EA,WHSE,8.05,8.05,C,
6515-CF-002-8064,HANDLE LARYNGOSCOPE DISP,1,EA,WHSE,19.85,19.85,D,
6515-CF-002-8065,"LARYNGOSCOPE HANDLE, USED WITH 6515-CF-002-8065, PART OF LARYNGOSCOPE EMERG SET 6515-CF-002-8054",1,EA,WHSE,176.71,176.71,C,
6515-CF-002-8513,"OTOSCOPE HEAD, 3.5V, FIBER OPTIC, MACROVIEW",1,EA,WHSE,340.88,340.88,C,
6515-CF-002-8619,"PADS, HEAT, OXYGEN ACTIVATED, SET OF 4 USED WITH BLANKET 6532-CF-003-0369",5,SE,WHSE,107.85,539.25,C,
6515-CF-002-8692,NEEDLE HYP SAFETY 18G X 1.5IN,5,EA,WHSE,0.2,1,C,
6515-CF-002-8693,NEEDLE HYP SAFETY 21G X 1.5IN,25,EA,WHSE,0.13,3.25,C,
6515-CF-002-8695,NEEDLE HYP SAFETY 22G X 1IN,10,EA,WHSE,0.21,2.1,C,
6515-CF-002-8696,NEEDLE HYP SAFETY 27G X 0.5IN,50,EA,WHSE,0.26,13,C,
6515-CF-002-8710,CATHETER IV DUAL PORT SAFETY 18G X 1.25IN,20,EA,WHSE,6.15,123,C,
6515-CF-002-8785,"BINDER, PELVIC, PELVIS TRAUMA ORTHOTIC DEVICE, ORANGE",2,EA,WHSE,168,336,C,
6515-CF-003-0008,APPLICATOR DISPOSABLE,0.3,BX,WHSE,13.05,3.92,C,
6515-CF-005-0029,"MANUAL SUCTION UNIT, STARTER KIT",1,EA,WHSE,116.83,116.83,C,
6515-CF-005-0608,"GLOVE, EXAM NITRILE NON-STERILE CHEMO TESTED MEDIUM",2,BX,WHSE,22.28,44.56,C,
6515-CF-005-0609,"GLOVE, EXAM NITRILE NON-STERILE CHEMO TESTED LARGE",2,BX,WHSE,22.28,44.56,C,
6515-CF-005-0610,"GLOVE, EXAM NITRILE NON-STERILE CHEMO TESTED XLARGE",2,BX,WHSE,19.31,38.62,C,
6515-CF-005-1470,"CPR MASK, POCKET VENTILLATOR, W/HEADSTRAP, ONE-WAY VALVE AND OXYGEN INLET",4,EA,WHSE,5.4,21.6,C,
6530-20-001-2849,COVER PROBE THERMOMETER,1,PG,WHSE,3.93,3.93,C,
6530-20-012-7761,ASSORTED SAFETY PINS,1,PG,WHSE,0.75,0.75,C,
6532-01-665-6728,"BLANKET, SELF-HEATING, READY-HEAT",10,EA,WHSE,54,540,D,
6532-CF-003-0369,BLANKET CASUALTY HYPOTHERMIA WITH 4 HEAT PADS,5,EA,WHSE,205,1025,D,
6545-01-522-1031,"BAG, MEDICAL COVERAGE",1,EA,WHSE,270.4,270.4,D,
6545-20-011-8366,"HOLSTER, SHEATH, SCISSORS, BELT",3,EA,WHSE,25.38,76.14,C,
6545-CF-002-0552,INJECTION SET I.V. (FIELD USE) W/O FILTER CHAMBER DISPOSABLE STERILE,2,KT,WHSE,11.12,22.24,C,
6630-00-404-2220,HOLDER BLOOD TUBE 16MM,2,EA,WHSE,0.32,0.64,C,
6630-CF-001-9151,TUBE BLOOD RED 10ML,25,EA,WHSE,0.33,8.25,C,
6640-01-378-0086,TUBE BLOOD LAVENDER 4ML,25,EA,WHSE,0.2,5,C,
6685-20-001-2846,THERMOMETER SELF INDICAT,2,EA,WHSE,10.2,20.4,C,
7510-21-561-5126,PENCIL COPYING INDELIBLE,0.08,,ExternalRqn,,,C,
7530-21-901-0569,"FORM PRINTED (FIELD)5X8""",10,EA,ExternalRqn,0,0,C,
7530-21-903-1240,ENVELOPE WALLET FIELD,10,EA,ExternalRqn,2.95,29.5,C,
8145-01-582-0735,"TRANSPORT CASE, PELICAN WITH FOAM AND WHEELS. MODEL 1630",1,EA,WHSE,533.36,533.36,D,
8145-01-682-0894,"SHIPPING AND STORAGE CONTAINER,MISCELLANEOUS EQUIPMENT",5,EA,WHSE,0.81,4.05,C,
8145-20-004-2639,"CASE, PELICAN NO 1630 WITH WHEELS - NO FOAM.",1,EA,WHSE,478.25,478.25,D,
8465-01-600-7837,"POUCH, LONG POCKET, COYOTE BROWN, 5.75IN H X 10.25IN W X 2IN D",1,EA,WHSE,94.5,94.5,C,
9330-21-859-2658,"PLASTIC WRAP, ROLL, POLYVINYL CHLORIDE, 29.5CM WIDE, 90M LONG",4,EA,ExternalRqn,3.99,15.96,C,
BOOK40,MILIARY FIRST AID (F/A BOOK - UTILIZED ON COURSES) 0500-70-PTO-01,1,,ExternalRqn,19.95,19.95,,
