Item NSN,Description,Quantity,Unit of Measure,Source,Unit Price,Extended Price,Accountability Code,Is Sub-Kit
6515-CF-002-7957,KIT FIRST RESPONDER AED,2,KT,WHSE,50.58,101.16,C,
6515-CF-002-8072,RESUS HANDHELD PORTA CA,4,EA,WHSE,2492.48,9969.92,B,
6515-CF-002-8547,"ADAPTER, AIRWAY, ADULT & PEDIATRIC FOR CO2 MONITOR 6515-CF-002-8546",1,BX,WHSE,285,285,C,
6515-CF-002-8619,"PADS, HEAT, OXYGEN ACTIVATED, SET OF 4 USED WITH BLANKET 6532-CF-003-0369",4,SE,WHSE,107.85,431.4,C,
6515-CF-002-8905,"CAPNOLINE, SMART, O2 PLUS, ADULT FOR USE WITH 6515-01-693-1239",10,EA,WHSE,21.35,213.5,C,
6515-CF-002-9051,"ELECTRODE, SOLID DISPERSIVE, DISPOSABLE ACCESSORY FOR ELECTROSURGICAL UNIT 6515-CF-002-8371 & 6515-CF-002-9769.",2,BX,WHSE,67,134,C,
6515-CF-002-9061,"PAPER, REPLACMENT FOR ELCTROCARDIOGRAPH 6515-17-118-4714",2,PG,WHSE,40.52,81.04,C,
6515-CF-002-9369,"STEP UP/STEP DOWN TRANSFORMER, FOR INCUBATOR 6630-CF-001-9871",1,EA,ExternalRqn,109.65,109.65,C,
6515-CF-002-9379,"NON-STERILE HANDPIECE SHEATH ACCESSORY FOR 6515-CF-002-8371 & 6515-CF-002-9769 APPARATUS, ELECTROSURGICAL UNIT.",2,BX,WHSE,49,98,,
6515-CF-002-9388,"SHARP ELECTRODE DERMAL TIP NONSTERILE, 100/BX, ACCESSORY FOR 6515-CF-002-8371 & 6515-CF-002-9769.",1,BX,WHSE,96,96,C,
6515-CF-002-9389,"BLUNT ELECTRODE DERMAL TIP NONSTERILE, 100 /BX, ACCESSORY FOR 6515-CF-002-8371 & 6515-CF-002-9769.",1,BX,WHSE,96,96,C,
6515-CF-002-9612,"BAG, DISPOSABLE, 1000ML FOR SUCTION UNIT 6515-CF-002-9795",1,EA,WHSE,27.72,27.72,C,
6515-CF-002-9769,ELECTROSURGICAL UNIT,1,EA,WHSE,10754.63,10754.63,A,
6515-CF-002-9795,"SUCTION UNIT, PORTABLE (NEW)",1,EA,WHSE,1111.49,1111.49,B,
6515-CF-005-0113,COCOON WARMING BLANKET DISPOSABLE UPPER BODY-ARMS OUT,2,EA,WHSE,9.95,19.9,C,
