Item NSN,Description,Quantity,Unit of Measure,Source,Unit Price,Extended Price,Accountability Code,Is Sub-Kit
6515-01-217-1236,SPLINT UNIVERSAL. FOLDED,2,EA,WHSE,10.08,20.16,C,
6515-01-452-4435,SUPP CERV COLLAR SELECT,2,EA,WHSE,17.15,34.3,C,
6515-CF-002-8619,"PADS, HEAT, OXYGEN ACTIVATED, SET OF 4 USED WITH BLANKET 6532-CF-003-0369",1,SE,WHSE,107.85,107.85,C,
6530-01-450-7213,RESTRAINT HEAD UNIVERSAL,1,EA,WHSE,237.43,237.43,C,
6530-CF-001-7724,"BOARD, SPINAL FRACTURE, PLASTIC, YELLOW, 2,500LBS DISTRIBUTED WEIGHT CAPACITY WITH MOLDED-IN SPEED CLIP PINS",1,EA,WHSE,298.22,298.22,D,
6530-CF-001-7725,RESTRAINT QUICK FASTRAP,1,EA,WHSE,149.3,149.3,C,
6532-CF-003-0369,BLANKET CASUALTY HYPOTHERMIA WITH 4 HEAT PADS,1,EA,WHSE,205,205,D,
9930-01-331-6244,"POUCH, HUMAN REMAINS, 140 IN. ENVELOPE (2-WAY) ZIPPER W/2 PULLS; HOLDS 300 LBS, 6 HANDLESTRAPS PLUS ADDITIONAL STRAPS EACH SIDE, PACKAGED IN 24 X 24 IN. HEAVY-DUTY VISCERA BAG",1,EA,ExternalRqn,0,0,C,
