Item NSN,Description,Quantity,Unit of Measure,Source,Unit Price,Extended Price,Accountability Code,Is Sub-Kit
6515-20-011-2559,"TRAY, TACTICAL VASCULAR",3,SE,WHSE,46.78,140.34,D,
6515-20-011-4681,SET AIRWAY SURGICAL STER,2,EA,WHSE,50.83,101.66,C,
6515-21-116-4057,FORCEP HEM CRIL ST 13CM,1,EA,WHSE,23.75,23.75,C,
6515-21-870-5191,KNIFE SURG W/BLADE NO.15,5,EA,WHSE,1.51,7.55,C,
6515-21-878-1957,SCISSORS UNIVERSAL,1,EA,WHSE,2.94,2.94,D,
6515-CF-001-3749,STAPLER DISPOSABLE 35MM,0.16,BX,WHSE,109.09,17.45,C,
6515-CF-001-7496,HOLDER/ET-TUBE RESTRAINT,1,EA,WHSE,2.71,2.71,C,
6515-CF-001-8628,DEPRESSOR TONGUE IND WRP,8,EA,WHSE,0.04,0.32,C,
6515-CF-001-9074,RESUSCITATIOR DISPOSABLE,1,EA,WHSE,17.06,17.06,C,
6515-CF-002-0794,CATHETER IV TFL ORG 14G,2,EA,WHSE,7.33,14.66,C,
6515-CF-002-0856,SET EXTEN IV .4ML 15.2CM,3,EA,WHSE,6.09,18.27,C,
6515-CF-002-0945,SPHYGMOM HAND HELD ANERO,1,EA,WHSE,158.87,158.87,D,
6515-CF-002-6093,LANCET MED BLD 21G 1.8MM,10,EA,WHSE,0.24,2.4,C,
6515-CF-002-7539,SUCTION DVC TACT AIRWAY,1,EA,WHSE,59.28,59.28,C,
6515-CF-002-7589,"GLOVES, EXAMINATION, NON-STERILE, NITRILE, LARGE, BLUE, CHEMO-APPROVED, 12"" EXTENDED CUFF",0.32,BX,WHSE,21.97,7.03,C,
6515-CF-002-7714,OXIMETER NONIN 9550,1,EA,WHSE,911.94,911.94,D,
6515-CF-002-8526,SHIELD EYE ALU WITH PROTECT CLOTH COVER LF,2,EA,WHSE,1.81,3.62,C,
6515-CF-002-8692,NEEDLE HYP SAFETY 18G X 1.5IN,10,EA,WHSE,0.2,2,C,
6515-CF-002-8695,NEEDLE HYP SAFETY 22G X 1IN,5,EA,WHSE,0.21,1.05,C,
6515-CF-002-9076,"SET, SOLUTION, 10 DROPS/ML, 3 LEUR VALVES, MALE LUER LOCK, 105IN LONG",1,EA,WHSE,8.4,8.4,C,
6515-CF-002-9233,TRIAGE TAGS(SET)INCLUDES DEAD TAG,5,EA,WHSE,5.81,29.05,D,
