Item NSN,Description,Quantity,Unit of Measure,Source,Unit Price,Extended Price,Accountability Code,Is Sub-Kit
5120-21-863-0096,"PLIERS, JEWELLERS, 5IN",1,EA,ExternalRqn,5,5,C,
5210-21-907-6461,"TAPE MEASURING 1.5M(60"")",9,EA,WHSE,2.67,24.03,C,
6135-21-892-7266,"BATTERY, C CELL",10,EA,ExternalRqn,1.44,14.4,C,
6135-21-892-7267,BATTERY 1.5V TYPE AA,10,EA,ExternalRqn,0.48,4.8,C,
6230-20-000-9253,LIGHT HEADBAND GEN PURP,15,EA,ExternalRqn,24,360,C,
6515-CF-001-9294,"LUBRICANT, INSTRUMENT",1,BT,WHSE,11.76,11.76,C,
6515-CF-005-1346,"OPTICAL SCREWDRIVER SET - FOUR REVERSIBLE BLADES, FOUR PHILIPS AND FOUR STRAIGHT BLADES",1,EA,WHSE,21.3,21.3,C,
9320-CF-003-0334,"RUBBER SHEET, SELF-ADHESIVE, FOR SPLINTING. DIMENSIONS 1/8IN x 18IN X 24IN(3.2MM X 45.7CM X 60.9CM)",0.5,SH,WHSE,15.59,7.79,C,
